pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940620861424,720575940623067686,SMP_R,5.0,GLUT
720575940624705936,720575940624206121,SMP_R,15.0,GLUT
720575940629378903,720575940631991266,SMP_R,16.0,ACH
720575940626567178,720575940620868432,SMP_R,8.0,ACH
720575940636985822,720575940634310763,SMP_R,3.0,ACH
720575940630644727,720575940631991266,SMP_R,10.0,GABA
720575940625478296,720575940638674384,SMP_R,14.0,GLUT
720575940623023109,720575940629494022,SMP_R,8.0,ACH
720575940637871706,720575940623082665,SMP_R,5.0,ACH
720575940614867119,720575940629090754,SMP_R,58.0,ACH
720575940616200790,720575940631853615,SMP_R,36.0,ACH
720575940610711250,720575940621216982,SMP_R,10.0,GLUT
720575940630046524,720575940623122125,SMP_R,34.0,GLUT
720575940611846520,720575940617071372,SMP_R,12.0,GLUT
720575940622103275,720575940639697827,SMP_R,2.0,ACH
720575940610818673,720575940631260716,SMP_R,13.0,GLUT
720575940623003405,720575940622602025,SMP_R,13.0,ACH
720575940616848030,720575940629575755,SMP_R,6.0,ACH
720575940616042582,720575940639504768,SMP_R,17.0,ACH
720575940617552340,720575940626315010,SMP_R,7.0,GLUT
720575940630349905,720575940631884883,SMP_R,1.0,ACH
720575940629392439,720575940604910270,SMP_R,5.0,GLUT
720575940615314129,720575940608227118,SMP_R,11.0,ACH
720575940625587642,720575940630659535,SMP_R,11.0,ACH
720575940610711250,720575940646735156,SMP_R,9.0,GLUT
720575940626315010,720575940621580715,SMP_R,10.0,ACH
720575940628360506,720575940618263365,SMP_R,10.0,GABA
720575940628118159,720575940642506459,SMP_R,6.0,GLUT
720575940607993668,720575940625934094,SMP_R,4.0,ACH
720575940634688151,720575940629050234,SMP_R,29.0,ACH
720575940605604030,720575940612572131,SMP_R,10.0,GLUT
720575940624206121,720575940617249236,SMP_R,59.0,GLUT
720575940629951852,720575940612572131,SMP_R,51.0,GLUT
720575940625741287,720575940643921444,SMP_R,12.0,GABA
720575940640518389,720575940626172490,SMP_R,4.0,GLUT
720575940629298679,720575940631853615,SMP_R,12.0,ACH
720575940626315010,720575940624696810,SMP_R,6.0,ACH
720575940620812353,720575940624860599,SMP_R,9.0,ACH
720575940644176164,720575940626172490,SMP_R,5.0,ACH
720575940613583001,720575940638163428,SMP_R,11.0,GABA
720575940634688151,720575940612734066,SMP_R,17.0,ACH
720575940627235258,720575940628462927,SMP_R,6.0,ACH
720575940622448166,720575940627289444,SMP_R,9.0,ACH
720575940611128782,720575940629575755,SMP_R,5.0,ACH
720575940615763573,720575940626939413,SMP_R,17.0,GLUT
720575940618292901,720575940608278620,SMP_R,61.0,GLUT
720575940623001480,720575940622999688,SMP_R,24.0,ACH
720575940626709373,720575940620793584,SMP_R,10.0,GLUT
720575940621525673,720575940604910270,SMP_R,7.0,GLUT
720575940610818673,720575940622314928,SMP_R,5.0,GLUT
720575940625478296,720575940619899668,SMP_R,12.0,GLUT
720575940610708430,720575940643539566,SMP_R,18.0,GLUT
720575940619041133,720575940639697827,SMP_R,3.0,ACH
720575940624648067,720575940614026193,SMP_R,1.0,ACH
720575940605158065,720575940638526278,SMP_R,36.0,ACH
720575940631511436,720575940625926693,SMP_R,8.0,ACH
720575940619928581,720575940625587642,SMP_R,24.0,ACH
720575940624983054,720575940626828304,SMP_R,16.0,ACH
720575940628504849,720575940616899033,SMP_R,8.0,ACH
720575940634752666,720575940642506459,SMP_R,4.0,ACH
720575940628697538,720575940623067686,SMP_R,8.0,ACH
720575940622192822,720575940619709899,SMP_R,5.0,ACH
720575940616273631,720575940619134789,SMP_R,51.0,ACH
720575940617102173,720575940624206472,SMP_R,9.0,ACH
720575940629432394,720575940612488142,SMP_R,10.0,ACH
720575940627309322,720575940618682782,SMP_R,7.0,ACH
720575940638808448,720575940611846520,SMP_R,5.0,GABA
720575940611755157,720575940622033933,SMP_R,5.0,ACH
720575940635515744,720575940642312136,SMP_R,122.0,ACH
720575940629298679,720575940627463043,SMP_R,10.0,ACH
720575940625478296,720575940608822226,SMP_R,19.0,GLUT
720575940626939413,720575940625323962,SMP_R,7.0,ACH
720575940634498167,720575940620660207,SMP_R,12.0,ACH
